ts_milliseconds,frame_number,person_total,person_in_roi
4137,120,0,0
4172,121,0,0
4206,122,0,0
4241,123,0,0
4275,124,0,0
4310,125,0,0
4344,126,0,0
4379,127,0,0
4413,128,0,0
4448,129,0,0
4482,130,0,0
4517,131,0,0
4551,132,0,0
4586,133,0,0
4620,134,0,0
4655,135,0,0
4689,136,0,0
4724,137,0,0
4758,138,0,0
4793,139,0,0
4827,140,0,0
4862,141,0,0
4896,142,0,0
4931,143,0,0
4965,144,0,0
5000,145,0,0
5034,146,0,0
5068,147,0,0
5103,148,0,0
5137,149,0,0
5172,150,0,0
5206,151,0,0
5241,152,0,0
5275,153,0,0
5310,154,0,0
5344,155,0,0
5379,156,0,0
5413,157,0,0
5448,158,0,0
5482,159,0,0
5517,160,0,0
5551,161,0,0
5586,162,0,0
5620,163,0,0
5655,164,0,0
5689,165,0,0
5724,166,0,0
5758,167,0,0
5793,168,0,0
5827,169,0,0
5862,170,0,0
5896,171,0,0
5931,172,0,0
5965,173,0,0
6000,174,0,0
6034,175,0,0
6068,176,0,0
6103,177,0,0
6137,178,0,0
6172,179,0,0
6206,180,0,0
6241,181,0,0
6275,182,0,0
6310,183,0,0
6344,184,0,0
6379,185,0,0
6413,186,0,0
6448,187,0,0
6482,188,0,0
6517,189,0,0
6551,190,0,0
6586,191,0,0
6620,192,0,0
6655,193,0,0
6689,194,0,0
6724,195,0,0
6758,196,0,0
6793,197,0,0
6827,198,0,0
6862,199,0,0
6896,200,0,0
6931,201,0,0
6965,202,0,0
7000,203,0,0
7034,204,0,0
7068,205,0,0
7103,206,0,0
7137,207,0,0
7172,208,0,0
7206,209,0,0
7241,210,0,0
7275,211,0,0
7310,212,0,0
7344,213,0,0
7379,214,0,0
7413,215,0,0
7448,216,0,0
7482,217,0,0
7517,218,0,0
7551,219,0,0
7586,220,0,0
7620,221,0,0
7655,222,0,0
7689,223,0,0
7724,224,0,0
7758,225,0,0
7793,226,0,0
7827,227,0,0
7862,228,0,0
7896,229,0,0
7931,230,0,0
7965,231,0,0
8000,232,0,0
8034,233,0,0
8068,234,0,0
8103,235,0,0
8137,236,0,0
8172,237,0,0
8206,238,0,0
8241,239,0,0
8275,240,0,0
8310,241,0,0
8344,242,0,0
8379,243,0,0
8413,244,0,0
8448,245,0,0
8482,246,0,0
8517,247,0,0
8551,248,0,0
8586,249,0,0
8620,250,0,0
8655,251,0,0
8689,252,0,0
8724,253,0,0
8758,254,0,0
8793,255,0,0
8827,256,0,0
8862,257,0,0
8896,258,0,0
8931,259,0,0
8965,260,0,0
9000,261,0,0
9034,262,0,0
9068,263,0,0
9103,264,0,0
9137,265,0,0
9172,266,0,0
9206,267,0,0
9241,268,0,0
9275,269,0,0
9310,270,0,0
9344,271,0,0
9379,272,0,0
9413,273,0,0
9448,274,0,0
9482,275,0,0
9517,276,0,0
9551,277,0,0
9586,278,0,0
9620,279,0,0
9655,280,0,0
9689,281,0,0
9724,282,0,0
9758,283,0,0
9793,284,0,0
9827,285,0,0
9862,286,0,0
9896,287,0,0
9931,288,0,0
9965,289,0,0
10000,290,0,0
10034,291,0,0
10068,292,0,0
10103,293,0,0
10137,294,0,0
10172,295,0,0
10206,296,0,0
10241,297,0,0
10275,298,0,0
10310,299,0,0
10344,300,0,0
10379,301,0,0
10413,302,0,0
10448,303,0,0
10482,304,0,0
10517,305,0,0
10551,306,0,0
10586,307,0,0
10620,308,0,0
10655,309,0,0
10689,310,0,0
10724,311,0,0
10758,312,0,0
10793,313,0,0
10827,314,0,0
10862,315,0,0
10896,316,0,0
10931,317,0,0
10965,318,0,0
11000,319,0,0
11034,320,0,0
11068,321,0,0
11103,322,0,0
11137,323,0,0
11172,324,0,0
11206,325,0,0
11241,326,0,0
11275,327,0,0
11310,328,0,0
11344,329,0,0
11379,330,0,0
11413,331,0,0
11448,332,0,0
11482,333,0,0
11517,334,0,0
11551,335,0,0
11586,336,0,0
11620,337,0,0
11655,338,0,0
11689,339,0,0
11724,340,0,0
11758,341,0,0
11793,342,0,0
11827,343,0,0
11862,344,0,0
11896,345,0,0
11931,346,0,0
11965,347,0,0
12000,348,0,0
12034,349,0,0
12068,350,0,0
12103,351,0,0
12137,352,0,0
12172,353,0,0
12206,354,0,0
12241,355,0,0
12275,356,0,0
12310,357,0,0
12344,358,0,0
12379,359,0,0
12413,360,0,0
12448,361,0,0
12482,362,0,0
12517,363,0,0
12551,364,0,0
12586,365,0,0
12620,366,0,0
12655,367,0,0
12689,368,0,0
12724,369,0,0
12758,370,0,0
12793,371,0,0
12827,372,0,0
12862,373,0,0
12896,374,0,0
12931,375,0,0
12965,376,0,0
13000,377,0,0
13034,378,0,0
13068,379,0,0
13103,380,0,0
13137,381,0,0
13172,382,0,0
13206,383,0,0
13241,384,0,0
13275,385,0,0
13310,386,0,0
13344,387,0,0
13379,388,0,0
13413,389,0,0
13448,390,0,0
13482,391,0,0
13517,392,0,0
13551,393,0,0
13586,394,0,0
13620,395,0,0
13655,396,0,0
13689,397,0,0
13724,398,0,0
13758,399,0,0
13793,400,0,0
13827,401,0,0
13862,402,0,0
13896,403,0,0
13931,404,0,0
13965,405,0,0
14000,406,0,0
14034,407,0,0
14068,408,0,0
14103,409,0,0
14137,410,0,0
14172,411,0,0
14206,412,0,0
14241,413,0,0
14275,414,0,0
14310,415,0,0
14344,416,0,0
14379,417,0,0
14413,418,0,0
14448,419,0,0
14482,420,0,0
14517,421,0,0
14551,422,0,0
14586,423,0,0
14620,424,0,0
14655,425,0,0
14689,426,0,0
14724,427,0,0
14758,428,0,0
14793,429,0,0
14827,430,0,0
14862,431,0,0
14896,432,0,0
14931,433,0,0
14965,434,0,0
15000,435,0,0
15034,436,0,0
15068,437,0,0
15103,438,0,0
15137,439,0,0
15172,440,0,0
15206,441,0,0
15241,442,0,0
15275,443,0,0
15310,444,0,0
15344,445,0,0
15379,446,0,0
15413,447,0,0
15448,448,0,0
15482,449,0,0
15517,450,0,0
15551,451,0,0
15586,452,0,0
15620,453,0,0
15655,454,0,0
15689,455,0,0
15724,456,0,0
15758,457,0,0
15793,458,0,0
15827,459,0,0
15862,460,0,0
15896,461,0,0
15931,462,0,0
15965,463,0,0
16000,464,0,0
16034,465,0,0
16068,466,0,0
16103,467,0,0
16137,468,0,0
16172,469,0,0
16206,470,0,0
16241,471,0,0
16275,472,0,0
16310,473,0,0
16344,474,0,0
16379,475,0,0
16413,476,0,0
16448,477,0,0
16482,478,0,0
16517,479,0,0
16551,480,0,0
16586,481,0,0
16620,482,0,0
16655,483,0,0
16689,484,0,0
16724,485,0,0
16758,486,0,0
16793,487,0,0
16827,488,0,0
16862,489,0,0
16896,490,0,0
16931,491,0,0
16965,492,0,0
17000,493,0,0
17034,494,0,0
17068,495,0,0
17103,496,0,0
17137,497,0,0
17172,498,0,0
17206,499,0,0
17241,500,0,0
17275,501,0,0
17310,502,0,0
17344,503,0,0
17379,504,0,0
17413,505,0,0
17448,506,0,0
17482,507,0,0
17517,508,0,0
17551,509,0,0
17586,510,0,0
17620,511,0,0
17655,512,0,0
17689,513,0,0
17724,514,0,0
17758,515,0,0
17793,516,0,0
17827,517,0,0
17862,518,0,0
17896,519,0,0
17931,520,0,0
17965,521,0,0
18000,522,0,0
18034,523,0,0
18068,524,0,0
18103,525,0,0
18137,526,0,0
18172,527,0,0
18206,528,0,0
18241,529,0,0
18275,530,0,0
18310,531,0,0
18344,532,0,0
18379,533,0,0
18413,534,0,0
18448,535,0,0
18482,536,0,0
18517,537,0,0
18551,538,0,0
18586,539,0,0
18620,540,0,0
18655,541,0,0
18689,542,0,0
18724,543,0,0
18758,544,0,0
18793,545,0,0
18827,546,0,0
18862,547,0,0
18896,548,0,0
18931,549,0,0
18965,550,0,0
19000,551,0,0
19034,552,0,0
19068,553,0,0
19103,554,0,0
19137,555,0,0
19172,556,0,0
19206,557,0,0
19241,558,0,0
19275,559,0,0
19310,560,0,0
19344,561,0,0
19379,562,0,0
19413,563,0,0
19448,564,0,0
19482,565,0,0
19517,566,0,0
19551,567,0,0
19586,568,0,0
19620,569,0,0
19655,570,0,0
19689,571,0,0
19724,572,0,0
19758,573,0,0
19793,574,0,0
19827,575,0,0
19862,576,0,0
19896,577,0,0
19931,578,0,0
19965,579,0,0
20000,580,0,0
